Source Term	Target Term
acid fast bacillus	bacilo ácido-alcohol resistente
acid-stressed	sometido a alteración química por ácido
acid/base extraction	extracción ácido-base
acicular crystal habit	hábito cristalino acicular
Acid Chloride	cloruro de acilo
acid stressed sample	muestra sometida a alteración química por ácido
acid-treatment neutralized pool	mezcla neutralizada mediante tratamiento con ácido
acid treatment	tratamiento con ácido
acid stress experiment	estudio en condiciones extremas de acidez
Acidflex	Acidflex
acidic centre	centro ácido
acidic hydrolysis	hidrólisis ácida
acidic	ácido
acid/base ratio	cociente ácido/base
acida-amine open ring compound	compuesto de anillo abierto ácido amino
acid/base hydrolisis	hidrólisis ácido-base
Acidic peak group	pico correspondiente al grupo de moléculas ácidas
acidic solution	solución ácida
acidifier	acidificante
acidified urine	orina acidificada
aciduria	aciduria
acinar epithelial cell	células epiteliales acinares
acidotic dyspnea	disnea acidótica
acinus	acín
acneform	acneiforme
Aclar blister strip	láminas de Aclar
aclidinium bromide	bromuro de aclidinio
ACQ	cuestionario del control del asma
ACN	ACN
ACT	ACT
acryl copolymer	copolímero acrílico
action potential	potencial de acción
ACROS, Neu-Ulm	ACROS, Nuevo Ulm
activated charcoal	carbón activado
ACS acute coronary syndrome	SCA - síndrome coronario agudo
ACTH	ACTH
active aluminum oxide, acid	aluminio óxido activo ácido
activating deletion mutations	mutación activadora por deleción
activated partial thromboplastin time	tiempo parcial de tromboplastina activada
activated charcoal filtration procedure	procedimiento de filtración a través de carbón activado
activated clotting time	tiempo de coagulación activada
active ingredient degradation	degradación del principio activo
active control	medicamento de comparación
active ingredient	principio activo
active controlled	controlado con tratamiento activo
active drug	fármaco activo
active ingredient yield	rendimiento de ingrediente activo
active substance, drug substance, active ingredient	principio activo
active metabolite	metabolito activo
active transport process	transporte activo
active site	sitio activo
active moiety	fracción activa
active substance	principio activo
activity pool mixed	mezcla kappa selectiva
activity gels	geles para detectar la actividad
active treatments groups	grupos de tratamiento activo
active treatment groups	grupos de tratamiento activo
activity poolmezcla con actividad	"""""""10 KD activity pool""""/""""Planova 20 activity pool"""" etc."""
active zone	zona activa
acute erosion	erosión aguda
acute coronary syndrome	síndrome coronario agudo
actuation	accionamiento
acute bronchodilator	broncodilatador para síntomas agudos
acute abdomen	abdomen agudo
Actual impurities	impurezas reales
actuate	pulsar
acute renal failure	insuficiencia renal aguda
acute treatment	trat
acute respiratory distress syndrome	síndrome de distrés respiratorio agudo
acute tubular necrosis	necrosis tubular aguda
acute treatment	tratamiento agudo
acute toxic class method	método de las clases de toxicidad aguda
acute venous thromboembolic event treatment	tratamiento de eventos tromboembólicos venosos agudos
acyl glycerol	acil glicerol
AD1	Dominio de activación 1
"ada/1172289440.pdf"""	86845_Nonclin Sum_Pharmkin Written_Sum_U12140001
ad	para
acylglucuronide	acil glucurónido
ADA	ADA
add-on therapy	tratamiento adicional
ADCA	ADCA
add	agregar
added content	contenido agregado
addendum	anexo
adaptive responses	respuestas adaptativas
adenosine triphosphate	adenosina trifosfato
adenosine diphosphate	adenosina difosfato
additive toxicity	toxicidad aditiva
adenoviral haemorrhagic cystitis	cistitis adenoviral hemorrágica
additive	aditivo
adiopaedia.org/articles/maximum-intensity-projection-mip	Informe de TC Sisro
adjusted by treatment	ajustado por tratamiento
adjudication committtee	comité evaluador
adjudicated event	evento clasificado
adipokine	adipquina
adjudication charter	acta de adjudicación de eventos
administered orally by gavage	se administró por vía oral por sonda nasogástrica
adjusted geometric mean	media geométrica ajustada
ADME absorption, distribution, metabolism, excretion	ADME - Absorción, distribución, metabolismo, eliminación
admin. of 10 mg, 20 mg or 40 mg	admin. de 10, 20 ó 40 mg
administration-related bronchoconstriction	broncoconstricción relacionada con la administración
adjusted mean differences	diferencias medias ajustadas
adnexas	anexos
ADP	ADP
administration-related bronchoconstriction search category	categoría de búsqueda de broncoconstricción relacionada con la administración
ADR	reacción adversa medicamentosa
ADP adenosine diphosphate	ADP - adenosina difosfato
adrenoceptor	adrenoceptor
adrenal gland	glándula suprarrenal
ADR adverse drug reaction	RAM - reacción adversa al medicamento
adrenal	suprarrenal
adrenal zona glomerulosa	zona glomerular
adrenal suppression	supresión suprarrenal
adrenoreceptor	adrenorreceptor
Adrenocorticotropic hormone	hormona adrenocorticotropa
adventitious agents	agentes fortuitos
advanced compartment absorption and transit	absorción y tránsito gastrointestinal en compartimentos, versión avanzada
adrenocortical steroid	corticoesteroides
adsorption	adsorción
adventitious virus	virus adventicios
AE	EA
adverse drug reaction	reacción adversa al medicamento
adverse event	evento adverso
adverse reaction	reacción adversa
Ae	Ae
aeration	aireación
AER	REA
aeroallergen	aeroalérgeno
aerodynamic fine particle dose	dosis de finas partículas aerodinámicas
AE adverse event	EA - evento adverso
AE occurrence	aparición del evento adverso
AF	FA
aetiology	etiología
aerosol contamination	contaminación por aerosoles
AESI	EAIP
AF atrial fibrilation	FA - fibrilación auricular
affinity chromatography	cromatografía de afinidad
affiliation	afiliación
after drying phase	fase de desecación secundaria
AFSSAPS	AFSSAPS
Agency for Healthcare Research and Quality	Agencia para la Investigación y la Calidad del Cuidado de la Salud
AFP	AFP
aggregate level	niveles de agregados
aged stationary phase	fase estacionaria madura
agglomerates	aglomerados
aflatoxin	aflatoxina
agate mortar	mortero de ágata
aglyca	aglicona
Agilent	Agilent
aggregated term	término agregado
agranulocytosis	agranulocitosis
aggregation level	nivel de agregación
aggregometer	agregómetro
AIC Akaike information criterion	AIC - criterio de información Akaike
aggregated endpoint	variable agregada
AIC	AIC
airway hyper-reactivity	P: MA 9-8-16
air supply	suministro de aire
air-dry	secar al aire libre
airway passage	vía respiratoria
airway	vía aérea
air righting	reflejo de enderezamiento en el aire
airway patency	permeabilidad de vía aérea
air jet sieve	tamizadora a chorro de aire
air supply tube	tubo de suministro de aire
al inglés	antepsin
Akt	Akt
Akaike information criterion	criterio de información Akaike
airway reversibility	reversibilidad de la vía aérea
airways	Vía/s aérea/s
al/al blister	blíster de aluminio/aluminio
Akt Protein family (protein kinases B), important for cell signaling	Akt - Familia de proteínas (cinasas B de proteínas), importante para la señalización celular
albino rats	ratas albinas
Alaskan Native	nativo de Alaska
albumin/globulin ratio	relación albúmina/globulina
albuterol	albuterol
alanine aminotransferase	alanina aminotransferasa
albumin/globulin	albúmina/globulina
aldosteronism	aldosteronismo
"ale (mRS) assessment for ICH cohort only"""" // http://www.rccc.eu/ppc/indicadores/Neuro/MRS.html"""	RMP_Praxbind_V1.0_S0001880501 Tabla Chart Flor (pp 147- 148 del PDF)
alcohol abuse	abuso del alcohol
ALD	DLA
ALD Approximate Lethal Dose	DLA - Dosis letal aproximada
aldolase	aldolasa
algestone acetophenide	acetofénido de algestona
aldehyde	aldehído
aliquot	alícuotas
ALKP	FAL
alignment	alineamiento
alkaline excipient	excipiente alcalino
alidad de vida relacionada con la salud	sigla: HRQoL/CVRS. Glosario de ensayos clínicos - Panacea
alkaline earths	metales alcalinotérreos
alkyl benzene sulphonate	sulfonato de alquilbenceno
alkaline phosphates	fosfatos alcalinos
ALK	ALK
alkali	álcali
all empaglflozin	empagliflozina (cualquiera sea la dosis)
alkyl tosylate	tosilato de alquilo
alkyne	alquino
allantoic and yolk sac routes	vía alantoidea y del saco vitelino
all-rac-alpha-tocopherol	?-tocoferol todo racémico
ALL	LLA
all-rac-?-Tocopheryl acetate	?-tocoferol todo racémico
alkylbenzyldimethylammonium chloride	cloruro de alquil dimetil bencil amonio
ALP	ALP
allergen challenge	exposición a alérgenos
alopurinol	alopurinol
alopecia	alopecia
alleviation	alivio
allocation ratio	relación de asignación
allergic asthma	asma alérgica
allergic disorders	alergias
alopecia of the torso	alopecia en el torso
alpha?bungarotoxin	?-bungarotoxina
ALT	ALT
alt&amp;__index=alt&amp;srchtxt=inotropic+effect&amp;comencsrch.x=0&amp;comencsrch.y=0&amp;comencsrch=Launch	Nonclin report_GP2002246PH2_U031311.pdf
alpha-linolenic acid	ácido alfa linoléico
alpha tocopheryl acetate	?-tocoferil acetato
ALT Alanine aminotransferase	ALT - Alanina aminotransferasa
alpha tocopherol acetate	alfa-tocoferol acetato
ALP alkaline phosphatase	FA - fosfatasa alcalina
alt&amp;srchtxt=effect+size&amp;comencsrch.x=-425&amp;comencsrch.y=-288&amp;comencsrch=Launch	New Engl J of Med_2010, 363 desde el subtítulo hasta el final
Alternate Propellant (AP)	propelente altenativo
alteplase lyophilisate	alteplasa liofilizada
alternate propellant	propelente altenativo
alternate	sustituto
alternativa para mean forced expiratory flow	Spiriva Resp-asthma_Clin sum_Efficacy_U13159901_desde 22 hasta 37
aluminium laminated	laminado de aluminio
aluminium foil	lámina de aluminio
alu/alu blister	blíster de aluminio/aluminio
aluminium lake	laca de aluminio
alternative controller agents	agentes de control alternativos
alveolar macrophage	macrófago alveolar
amber volumetric glass flask	matraz aforado de vidrio color ámbar
ambient conditions	condiciones de temperatura y humedad ambiente
ambroxole	ambroxol
Amantadina	Amantadina
AM device	aparato de control del asma Asthma Monitor
alveolitis	alveolitis
Aluminium-Cold-Form	aluminio conformado en frío
ameloblast	ameloblastos
amenable	susceptible
Ambulatory Blood Pressure Monitoring	monitoreo ambulatorio de la tensión arterial
amend	adicionar
American Heart Association	sociedad cardiológica American Heart Association
American Society of Clinical Oncology	Sociedad Americana de Oncología Clínica
American Oil Chemists Society	Sociedad Americana de Químicos del Aceite
American Diabetes Association	Asociación Americana de Diabetes
American Academy of Pediatrics	Academia Estadounidense de Pediatría
amendment	enmienda
American Indian	amerindio
Amine coupling method	método de acoplamiento de aminas
amifostine	amifostina
Ames test	prueba de Ames
amide group	grupo amida
AMI	IAM
amid	amida
American Thoracic Society	Sociedad Torácica Americana
Ames negative	la prueba de Ames arrojó un resultado negativo
AMG	AMG
Amidin	Amidina
aminobenzoyl	aminobenzoico
amlexanox	amlexanox
ammonium acetate	acetato de amonio
ammonium dihydrogen phosphate	fosfato diácido de amonio
amiodarone	amiodarona
amine oxide	óxido de amina
ammonia	amoníaco
amlodipine	amlodipina
amisulpride	amisulprida
ammonium	amonio
ammonium ferrous sulphate	sulfato ferroso de amonio
ammonium methacrylate	metacrilato de amonio
amniotic fluid	líquido amniótico
amphiphilic drug	medicamento anfolítico
ammonium hydroxide	hidróxido amónico
ammonium formiate	formiato de amonio
ammonium hydrogen phosphate	fosfato ácido de amonio
amounting to	equivalente a
amorphisation	amorfización
ampolla? y diferencia con vial? BD: las ampollas son cerradas, los viales son frascos con tapa	Actilyse Lyophilisate 83945_P710_AL0102_A142859
anaemia hypochromic	anemia hipocrómica
ampicillin	ampicilina
amyotrophic lateral sclerosis	esclerosis lateral amiotrófica
anaerobic glycolysis	glucólisis anaeróbica
AM® device	monitor para asma AM®
analgesic	analgésico
Ampr	AmpR
analgesic-induced asthma syndrome	síndrome asmático inducido por analgésicos
analysis of variance	análisis de varianza
analyst variability	variabilidad del operador
analyst	analista
analyses (SEA-insulin)	análisis de efectos secundarios (AES-insulina)
analysis of covariance	análisis de covarianza
analytical precision of HPLC method	precisión analítica del método HPLC
analytical HPLC column	columna cromatográfica analítica
Analytical Development Department	Departamento de Desarrollo Analítico
analytical data	datos analíticos
analytical grade	grado analítico
analytical balance	balanza analítica
analytical placebo	placebo analítico
analyte	analito
Analytical Procedure	procedimiento analítico
analytics	método analítico
anaphylaxis	anafilaxis
anastomosis	anastomosis
anaphylactic shock	shock anafiláctico
anamnestic	anamnesis
Analytical Sciences Department/Drug Product Analysis	Departamento de ciencias analíticas/ Análisis de productos medicinales
anaphylactoid	anafilactoide
analytical specifications	especificaciones de análisis
ANC	neutrófilos absolutos
aneugenic potential	potencial aneugénico
angiectasia	angiectasia
angina	angina
ANCOVA modelling	modelo de análisis de la covariancia (ANCOVA)
anchor sweep blade	agitador tipo ancla
aneuploidy	aneusoploidia
angioedema	angioedema
angina pectoris	angina de pecho
angiotensin II receptor blocker	bloqueador del receptor de angiotensina II
angioneurotic edema	edema angioneurótico
anhydrous	anhidro
anhydride	anhídrido
anhydrous form	forma anhidra
anhydrous ethanol	etanol anhidro
anhydrous basis	bases anhídras
angiotensin II receptor antagonist	antagonista de los receptores de angiotensina II
angular section	sección angular
angiogenesis	angiogénesis
aniline	anilina
animal model	modelo animal
animal spongiform encephalopathy agent	agente de la ecefalopatía espongiforme animal
anhydrous oxalic acid	ácido oxálico anhidro
Animal Protection Act	Ley de Protección Animal
Animal health procedure	procedimiento de sanidad animal
annealing	recocido
anisaldehyde reagent	reactivo de anisaldehído
anion gap	brecha aniónica
anionic exchange resins	resina de intercambio aniónico
anogenital	anogenital
anisotropically	de manera anisotrópica
ANMAT	ANMAT
anovulatory contraception	anticoncepción anovulatoria
ANOVA - Analysis of variance	ANOVA - Análisis de varianza
anophthalmia	anoftalmía
anterior	anterior
antecubital vein	vena antecubital
ANOVA	ANOVA
anogenital staining	manchas en la zona anogenital
antagonistic effect	efecto antagonista
anti-adherent	antiadherente
anti-angiogenic	antiangiogénico
anti-Hu syndrome	síndrome anti-Hu
anti-IgE antibody	anticuerpo inmunoglobulina E
anti-HEV	anti-VHE
anti cancer	carcinostático
anti epileptic	antiepiléptico
anti drug antibodies	anticuerpos antifármaco
anti-inflammatory therapy	P: MA 9-8-16
anti-immunoglobulin E	anti-inmunoglobulina E
anti-inflammatory therapy	tratamiento antiinflamatorio
anti-IgE treatment	tratamiento antiinmunoglobulina E
anti-tumour effects	efectos antitumorales
anti-tyrosine phosphate antibodies	anticuerpos anti-tirosina fosfatasa
antiarrhythmics	antiarrítmicos
anti-nociceptive	antinociceptivo
anti-proliferative	antiproliferativo
anti-PY antibody	anticuerpo anti-pY
anti-mitochondrial antibody	anticuerpo antimitocondrial
antiangiogenic	antiangiogénico
anti-sticking agent	agente antiadhesivo
anticoagulant	anticoagulante
antibody fragment	fragmento de anticuerpo
antibiotics	antibióticos
anticipated human therapeutic dose	dosis terapéutica anticipada
anticholinergic	anticolinérgico
antibody	anticuerpo
anticoagulant therapy	tratamiento anticoagulante
anticonvulsants	anticonvulsivos
anticholinergic agents	agente anticolinérgico
antidiabetes agent	antidiabético
antihyperglycemic	antihiperglicemiantes
antigenic stimulation	estimulación antigénica
antigas products	antiflatulento
antiemetic therapy	tratamiento antiemético
antihypertensive rescue	rescate antihipertensivo
antihypertensive	antihipertensivo
antidote	agente reversor específico
antidiarrheal treatment	tratamiento antidiarreico
antiobesity drug	fármaco para el tratamiento de la obesidad
antiphospholipid antibodies	anticuerpos antifosfolípido
antileukotriene	antileucotrienos
Antipain	antipaína
antineoplastic agent	agente antineoplástico
antileukotriene	antileucotrieno
antiplatelet aggregation medicine	antiagregante plaquetario
antirheumatic	antirreumático
antipyretic agent	antitérmico
antiretroviral therapy	tratamiento antirretroviral
antiretroviral	antirretroviral
antipropulsives	antipropulsivo
antisepsis	antisepsia
antisectory	antisecretorio
anxiety disturbance	trastorno de ansiedad
AOCS	SAQA
antisolvent	antidisolvente
antithrombotic	antitrombótico
ANVISA	ANVISA
antisera	antisuero
antitrypsin	antitripsina
any bleeding	sangrado de cualquier tipo
anucleated erythrocytic cells	células eritrocíticas anucleadas
aortic arch	arco aórtico
apa_fina / http://en.wikipedia.org/wiki/Thin_layer_chromatography	83145_P530_AI0102_A113684 Bisolvón
AP - Alternate Propellant	PA - propelente alternativo
AP	fosfatasa alcalina
AP - Action potential	PA - potencial de acción
aortic aneurysm rupture	rotura de aneurisma aórtico
aperture lens	lente de apertura
aorta abdominalis	aorta abdominal
AP	PA
APG	grupo de picos ácidos
apixaban	apixaban
API starting material	material inicial determinado por API
API	API
apex	ápex
apical to basal in vitro permeability study	estudio de permeabilidad in vitro apical -basal y basal-apical
API - active pharmaceutical ingredient	API - ingrediente farmacéutico activo
apnoea	apnea
Apparatus D	Aparato D
apparatus	aparato
apolipoprotein	apolipoproteína
apparent clearance	depuración aparente
apo-ipratropium	apoipratropio
apparent partition coefficient	coeficiente de reparto aparente
apostille certificate	apostilla
apoptosis	apoptosis
apo A-I	apoA1
appendectomy	apendicectomía
apparent total body clearance	depuración total aparente
appetizers	aperitivo
Appendices / Appendix	Anexo /s
apparent partition coefficient, log Papp	coeficiente de reparto aparente, log Papp
appendix	apéndice
applicant	interesado
approved oral antidiabetic agents	agentes orales aprobados para su utilización contra la diabetes
approximate integration	integración aproximada
Approximate Lethal Dose	dosis letal aproximada
application	radicación
aPPT	aPTT
application	dossier
aprotinin	aprotinina
aqueous one-phase system	sistema homogéneo acuoso
AQL	NAC
aPTT	aPTT
AQV	AQV
aqueous film coating	recubrimiento pelicular acuoso
AQLQ	AQLQ
aqueous film-coating	recubrimiento pelicular acuoso
arachidonic acid	ácido araquidónico
arc triangular	triangular con bordes redondeados
ARBSC	CBBRA
archTermId=&amp;toDate=&amp;fromDate=&amp;format=REPORT&amp;listTermName=Medical+Dictionary+For+Regulatory+Activities+(MedDRA)	Legacy Clinical Study Report_U07312802
archTermId=&amp;toDate=&amp;fromDate=&amp;format=REPORT&amp;listTermName=Medical+Dictionary+For+Regulatory+Activities+%28MedDRA%29	sVTEt &amp; VTEp_Clin sum_Sum of clin safety_U12261701 segunda parte
ARB	bloqueante de los receptores de la angiotensina
area under the curve	área bajo la curva
are compendial	Incluído en farmacopea
Arg/Arg polymorphism	polimorfismo Arg/Arg
area unit	área del pico (unidades)
ARF	IRA
argentometric titration	titulación argentométrica
arm	grupo
arginine	arginina
arithmetic mean	media aritmética
"argetLanguages=es"""	VE DL2014-01 CRC 3832 Sifrol ER Question 3
Aroclor 1254-induced rat liver metabolic activation	activación metabólica del hígado de rata inducido por Aroclor 1254
arithmetic coefficient of variation	coeficiente de variación aritmética
artefact formation	formación de artefactos
arteriole	arteriola
arterial line	catéter arterial
aroma de limón	Bisolvón 83145_P410_AI0102_A144742
arteriovenous	arteriovenoso
arterial blood gas	gas en sangre arterial
aroma solution	sustancia aromática
arterial blood pressure	tensión arterial
arthralgia	artralgia
articular disorder	P: MA 9-8-16
arthropod bite	picadura de artrópodo
articular disorder	trastorno articular
as in The study also had a power of 90% to detect a between-treatment difference	New Engl J of Med_2010, 363 desde el subtítulo hasta el final
