Source Term	Target Term
Accelerated hypertension	Hipertensión acelerada
Accessory auricle	Oreja supernumeraria
Accessory carpal bone	Hueso carpiano supernumerario
Accessory muscle	Músculo supernumerario
Accident	Accidente
Accessory salivary gland	Glándula salival supernumeraria
Accident at work	Accidente laboral
Accident at home	Accidente en casa
Accidental exposure	Exposición accidental
Accidental poisoning	Intoxicación accidental
Accidental overdose	Sobredosis accidental
Accommodation disorder	Trastorno de la acomodación
Acetonaemia	Acetonemia
Acetabulum fracture	Fractura de acetábulo
Acid base balance	Equilibrio acidobásico
Achlorhydria	Aclorhidria
Acid base balance abnormal	Equilibrio acidobásico anormal
Acid-base balance disorder mixed	Trastorno mixto del equilibrio acidobásico
Acid base balance normal	Equilibrio acidobásico normal
Acidosis	Acidosis
Acidosis hyperchloraemic	Acidosis hiperclorémica
Acne	Acné
Acne conglobata	Acné conglobata
Acne cosmetica	Acné por cosméticos
Acne cystic	Acné quístico
Acne occupational	Acné profesional
Acne infantile	Acné infantil
Acne pustular	Acné pustular
Acne varioliformis	Acné varioliforme
Acoustic neuroma	Neuroma acústico
Acoustic neuroma removal	Extirpación de neuroma acústico
Acoustic stimulation tests	Pruebas de estimulación acústica
Acoustic stimulation tests abnormal	Pruebas anormales de estimulación acústica
Acoustic stimulation tests normal	Pruebas normales de estimulación acústica
Acquired afibrinogenaemia	Afibrinogenemia adquirida
Acquired cardiac septal defect	Defecto adquirido del tabique cardiaco
Acquired hydrocele	Hidrocele adquirido
Acquired immunodeficiency syndrome	Síndrome de inmunodeficiencia adquirida
Acquired tracheo-oesophageal fistula	Fístula traqueoesofágica adquirida
Acral lentiginous melanoma stage I	Melanoma lentiginoso acro, estadio I
Acral lentiginous melanoma stage II	Melanoma lentiginoso acro, estadio II
Acral lentiginous melanoma stage III	Melanoma lentiginoso acro, estadio III
Acral lentiginous melanoma stage unspecified	Melanoma lentiginoso acro, estadio no especificado
Acral lentiginous melanoma stage IV	Melanoma lentiginoso acro, estadio IV
Acrochordon	Acrocordon
Acrodermatitis chronica atrophicans	Acrodermatitis crónica atrófica
Acrodermatitis enteropathica	Acrodermatitis enteropática
Acrodynia	Acrodinia
Acromegaly	Acromegalia
Acrophobia	Acrofobia
Actinic keratosis	Queratosis actínica
ACTH-producing pituitary tumour	Tumor hipofisario productor de ACTH
Actinomycotic abdominal infection	Infección abdominal actinomicótica
Actinomycosis	Actinomicosis
Actinomycotic pulmonary infection	Infección pulmonar actinomicótica
Actinomycotic skin infection	Infección cutánea actinomicótica
Activated partial thromboplastin time	Tiempo de tromboplastina parcial activada
Activated partial thromboplastin time abnormal	Tiempo anormal de tromboplastina parcial activada
Activated partial thromboplastin time prolonged	Tiempo prolongado de tromboplastina parcial activada
Activated partial thromboplastin time normal	Tiempo normal de tromboplastina parcial activada
Activated partial thromboplastin time shortened	Tiempo acortado de tromboplastina parcial activada
Acupuncture	Acupuntura
Acute abdomen	Abdomen agudo
Acute disseminated encephalomyelitis	Encefalomielitis diseminada aguda
Acute fatty liver of pregnancy	Hígado graso agudo del embarazo
Acute febrile neutrophilic dermatosis	Dermatosis neutrófila aguda febril
Acute HIV infection	Infección VIH aguda
Acute hepatic failure	Fallo hepático agudo
Acute lymphocytic leukaemia	Leucemia linfocítica aguda
Acute leukaemia	Leucemia aguda
Acute lymphocytic leukaemia (in remission)	Leucemia linfocítica aguda (en remisión)
Acute megakaryocytic leukaemia	Leucemia megacariocítica aguda
Acute monocytic leukaemia (in remission)	Leucemia monocítica aguda (en remisión)
Acute monocytic leukaemia	Leucemia monocítica aguda
Acute myeloid leukaemia	Leucemia mielógena aguda
Acute myeloid leukaemia (in remission)	Leucemia mielógena aguda (en remisión)
Acute myelomonocytic leukaemia	Leucemia mielomonocítica aguda
Acute myocardial infarction	Infarto agudo de miocardio
Acute prerenal failure	Fallo prerenal agudo
Acute promyelocytic leukaemia	Leucemia promielocítica aguda
Acute psychosis	Psicosis aguda
Acute pulmonary histoplasmosis	Histoplasmosis pulmonar aguda
Acute pulmonary oedema	Edema pulmonar agudo
Acute respiratory distress syndrome	Síndrome de sufrimiento respiratorio agudo
Acute respiratory failure	Insuficiencia respiratoria aguda
Acute sinusitis	Sinusitis aguda
Acute stress disorder	Trastorno agudo por estrés
Adams-Stokes syndrome	Síndrome de Adams-Stokes
Acute tonsillitis	Amigdalitis aguda
Addison's disease	Enfermedad de Addison
Adductor vocal cord weakness	Debilidad de la cuerda vocal aductora
Adenocarcinoma	Adenocarcinoma
Adenocarcinoma of the cervix	Adenocarcinoma de cérvix
Adenoidal hypertrophy	Hipertrofia de adenoides
Adenoidectomy	Adenoidectomía
Adenoma benign	Adenoma benigno
Adenopathy syphilitic	Adenopatía sifilítica
Adenosquamous carcinoma of the cervix	Carcinoma adenoescamoso de cérvix
Adenosquamous cell lung cancer	Cáncer de pulmón de células adenoescamosas
Adenosquamous cell lung cancer recurrent	Cáncer de pulmón de células adenoescamosas recurrente
Adenosquamous cell lung cancer stage 0	Cáncer de pulmón de células adenoescamosas, estadio 0
Adenosquamous cell lung cancer stage I	Cáncer de pulmón de células adenoescamosas, estadio I
Adenosquamous cell lung cancer stage III	Cáncer de pulmón de células adenoescamosas, estadio III
Adenosquamous cell lung cancer stage II	Cáncer de pulmón de células adenoescamosas, estadio II
Adenotonsillectomy	Adenoamigdalectomía
Adenosquamous cell lung cancer stage IV	Cáncer de pulmón de células adenoescamosas, estadio IV
Adenoviral conjunctivitis	Conjuntivitis por adenovirus
Adenoviral upper respiratory infection	Infección respiratoria alta por adenovirus
Adiposis dolorosa	Adiposis dolorosa
Adjustment disorder with anxiety	Trastorno de adaptación con ansiedad
Adjustment disorder with depressed mood	Trastorno de adaptación con estado de ánimo deprimido
Adjustment disorder with mixed anxiety and depressed mood	Trastorno de adaptación con ansiedad y estado de ánimo deprimido
Adjustment disorder with disturbance of conduct	Trastorno de adaptación con alteración de la conducta
Adjustment disorder with mixed disturbance of emotion and conduct	Trastorno de adaptación con alteración mixta de las emociones y la conducta
Administration site reaction	Reacción en la zona de administración
Adolescence	Adolescencia
Adoption	Adopción
Adrenal adenoma	Adenoma de glándulas suprarrenales
Adrenal atrophy	Atrofia de la glándula suprarrenal
Adrenal blockade therapy	Tratamiento de bloqueo suprarrenal
Adrenal cortex dysplasia	Displasia de la corteza suprarrenal
Adrenal carcinoma	Carcinoma de glándulas suprarrenales
Adrenal disorder	Trastorno adrenal
Adrenal cortex necrosis	Necrosis de la corteza suprarrenal
Adrenal gland tuberculosis	Tuberculosis de las glándulas suprarrenales
Adrenal gland injury	Lesión traumática de la glándula suprarrenal
Adrenal glomerular zone abnormal	Zona glomerular anormal de la glándula suprarrenal
Adrenal haemorrhage	Hemorragia suprarrenal
Adrenal insufficiency	Insuficiencia suprarrenal
Adrenal insufficiency neonatal	Insuficiencia suprarrenal neonatal
Adrenal medulla hyperfunction	Hiperfunción de la médula suprarrenal
Adrenal suppression	Supresión suprarrenal
Adrenergic syndrome	Síndrome adrenérgico
Adrenocortical insufficiency acute	Insuficiencia córticosuprarrenal aguda
Adrenocortical carcinoma	Carcinoma adrenocortical
Adrenocortical insufficiency neonatal	Insuficiencia adrenocortical neonatal
Adrenocortical steroid therapy	Tratamiento con esteroides de la corteza suprarrenal
Adrenolytic syndrome	Síndrome adrenolítico
Adult T-cell lymphoma/leukaemia	Linfoma/leucemia de células T del adulto
Adult T-cell lymphoma/leukaemia recurrent	Linfoma/leucemia de células T del adulto, recurrente
Adult T-cell lymphoma/leukaemia stage I	Linfoma/leucemia de células T del adulto, estadio I
Adult T-cell lymphoma/leukaemia refractory	Linfoma/leucemia de células T del adulto, refractaria
Adult T-cell lymphoma/leukaemia stage III	Linfoma/leucemia de células T del adulto, estadio III
Adult T-cell lymphoma/leukaemia stage II	Linfoma/leucemia de células T del adulto, estadio II
Advanced sleep phase	Fase de sueño adelantada
Adult T-cell lymphoma/leukaemia stage IV	Linfoma/leucemia de células T del adulto, estadio IV
Affective disorder	Trastorno afectivo
Aesthesioneuroblastoma	Estesioneuroblastoma
African trypanosomiasis	Tripanosomiasis africana
Aged parent	Padre (o madre) de edad avanzada
Ageusia	Ageusia
Aggression	Agresión
Agitation	Agitación
Agitated depression	Depresión agitada
Agitation neonatal	Agitación neonatal
Agoraphobia	Agorafobia
Aglossia	Aglosia
Agraphia	Agrafia
Agranulocytosis	Agranulocitosis
Ainhum	Ainhum
AIDS related complex	Complejo relacionado con el SIDA
Air-borne transmission	Transmisión por vía aérea
Air embolism	Embolia gaseosa
Akinesia	Acinesia
Akathisia	Acatisia
Alanine aminotransferase	Alanina aminotransferasa
Alanine aminotransferase abnormal	Alanina aminotransferasa anormal
Alanine aminotransferase decreased	Alanina aminotransferasa disminuida
Alanine aminotransferase increased	Alanina aminotransferasa elevada
Alanine aminotransferase normal	Alanina aminotransferasa normal
Albinism	Albinismo
Albumin globulin ratio	Proporción albúmina globulina
Albumin globulin ratio decreased	Proporción albúmina globulina disminuida
Albumin globulin ratio abnormal	Proporción albúmina globulina anormal
Albumin globulin ratio normal	Proporción albúmina globulina normal
Albumin globulin ratio increased	Proporción albúmina globulina aumentada
Albumin urine	Albúmina en orina
Albuminuria	Albuminuria
Albumin urine absent	Ausencia de albuminuria
Alcohol abuse	Abuso del alcohol
Albumin urine present	Presencia de albuminuria
Alcohol induced persisting dementia	Demencia persistente inducida por el alcohol
Alcohol interaction	Interacción con el alcohol
Alcohol intolerance	Intolerancia al alcohol
Alcohol poisoning	Intoxicación etílica
Alcohol problem	Problemas por el alcohol
Alcoholic liver disease	Enfermedad alcohólica del hígado
Alcoholic	Alcohólico
Alcoholic hangover	Resaca alcohólica
Alcoholic pseudo Cushing's syndrome	Síndrome pseudo Cushing alcohólico
Alcoholic relative	Pariente alcohólico
Alcoholic psychosis	Psicosis alcohólica
Aldolase increased	Aldolasa elevada
Alcoholism	Alcoholismo
Aldolase decreased	Aldolasa disminuida
Aldosterone urine	Aldosterona en orina
Aldolase normal	Aldolasa normal
Aldosterone urine decreased	Aldosterona disminuida en orina
Aldosterone urine normal	Aldosterona normal en orina
Aldosterone urine increased	Aldosterona elevada en orina
Aleukaemic leukaemia	Leucemia aleucémica
Alexia	Alexia
Alice in wonderland syndrome	Síndrome de Alicia en el país de las maravillas
Alkalosis	Alcalosis
Alkalosis hypochloraemic	Alcalosis hipoclorémica
Alkaptonuria	Alcaptonuria
Alkalosis hypokalaemic	Alcalosis hipopotasémica
Allergy to sting	Alergia a picaduras
Allergy to animal	Alergia a un animal
Allescheriosis	Alesqueriosis
Allogenic bone marrow transplantation therapy	Tratamiento con trasplante de médula ósea alógena
Allergy to venom	Alergia al veneno
Alopecia areata	Alopecia areata
Alopecia	Alopecia
Alopecia effluvium	Efluvio telógeno
Alopecia syphilitic	Alopecia sifilítica
Alopecia scarring	Alopecia cicatricial
Alopecia totalis	Alopecia total
Alopecia universalis	Alopecia universal
Alpha 1 foetoprotein abnormal	Alfa-1-fetoproteína anormal
Alpha 1 foetoprotein amniotic fluid	Alfa-1-fetoproteína en líquido amniótico
Alpha 1 foetoprotein	Alfa-1-fetoproteína
Alpha 1 foetoprotein amniotic fluid abnormal	Alfa-1-fetoproteína anormal en líquido amniótico
Alpha 1 foetoprotein amniotic fluid increased	Alfa-1-fetoproteína elevada en líquido amniótico
Alpha 1 foetoprotein decreased	Alfa-1-fetoproteína disminuida
Alpha 1 foetoprotein amniotic fluid normal	Alfa-1-fetoproteína normal en líquido amniótico
Alpha 1 foetoprotein normal	Alfa-1 fetoproteína normal
Alpha 1 globulin	Globulina alfa 1
Alpha 1 foetoprotein increased	Alfa-1-fetoproteína elevada
Alpha 1 globulin abnormal	Globulina alfa 1 anormal
Alpha 1 globulin decreased	Globulina alfa 1 disminuida
Alpha 1 globulin normal	Globulina alfa 1 normal
Alpha 1 globulin increased	Globulina alfa 1 elevada
Alpha 2 globulin abnormal	Globulina alfa 2 anormal
Alpha 2 globulin	Globulina alfa 2
Alpha 2 globulin decreased	Globulina alfa 2 disminuida
Alpha 2 globulin increased	Globulina alfa 2 elevada
Alpha interferon therapy	Tratamiento con interferón alfa
Alpha 2 globulin normal	Globulina alfa 2 normal
Alpha-1 anti-trypsin abnormal	Alfa-1-antitripsina anormal
Alpha-1 anti-trypsin	Alfa-1-antitripsina
Alpha-1 anti-trypsin decreased	Alfa-1-antitripsina disminuida
Alpha-1 anti-trypsin deficiency	Déficit de alfa-1 anti-tripsina
Alpha-1 anti-trypsin increased	Alfa-1-antitripsina elevada
Alpha-1 anti-trypsin normal	Alfa-1-antitripsina normal
Alpha-2 macroglobulin	Macroglobulina alfa 2
Alpha-2 macroglobulin increased	Macroglobulina alfa 2 elevada
Alport's syndrome	Síndrome de Alport
Altered state of consciousness	Estado de conciencia alterado
Alpha-2 macroglobulin normal	Macroglobulina alfa 2 normal
Alveolar aeration excessive	Ventilación alveolar excesiva
Alveolar proteinosis	Proteinosis alveolar
Alveolar soft part sarcoma metastatic	Sarcoma alveolar de partes blandas, metastásico
Alveolar soft part sarcoma	Sarcoma alveolar de partes blandas
Alveolitis allergic	Alveolitis alérgica
Alveolitis	Alveolitis
Alveolar soft part sarcoma recurrent	Sarcoma alveolar de partes blandas, recurrente
Alveolitis fibrosing	Alveolitis fibrosante
Amalgam tattoo	Tatuaje con amalgama
Amblyopia	Ambliopía
Amaurosis	Amaurosis
Amaurosis fugax	Amaurosis fugaz
Amblyopia strabismic	Ambliopía estrábica
Amblyopia alcohol	Ambliopía por alcohol
Amblyopia congenital	Ambliopía congénita
Amenorrhoea	Amenorrea
American trypanosomiasis	Tripanosomiasis americana
Amblyopia tobacco	Ambliopía por tabaco
Amino acid metabolism disorder	Trastorno del metabolismo de los aminoácidos
Amino acid catabolism disorder	Trastorno del catabolismo de los aminoácidos
Ammonia abnormal	Amoniaco anormal
Aminoaciduria	Aminoaciduria
Ammonia decreased	Amoniaco disminuido
Ammonia normal	Amoniaco normal
Ammonia increased	Amoniaco elevado
Amnesia	Amnesia
Amniocentesis abnormal	Amniocentesis anormal
Amniocentesis	Amniocentesis
Amnioscopy	Amnioscopia
Amnioscopy abnormal	Amnioscopia anormal
Amniocentesis normal	Amniocentesis normal
Amnioscopy normal	Amnioscopia normal
Amoebic brain abscess	Absceso cerebral amebiano
Amoebiasis	Amebiasis
Amoebic colitis	Colitis amebiana
Amoebic dysentery	Disentería amebiana
Amoebic skin ulcer	Úlcera cutánea amebiana
Amoebic lung abscess	Absceso pulmonar amebiano
Amputation of penis	Amputación del pene
Amyloidosis	Amiloidosis
Amputation revision	Revisión de amputación
Amyotrophic lateral sclerosis	Esclerosis lateral amiotrófica
Amyloidosis senile	Amiloidosis senil
Amyotrophy	Amiotrofia
Anaemia	Anemia
Anaemia folate deficiency	Anemia por déficit de folatos
Anaemia haemolytic autoimmune	Anemia hemolítica autoinmune
Anaemia macrocytic	Anemia macrocítica
Anaemia Heinz body	Anemia con cuerpos de Heinz
Anaemia megaloblastic	Anemia megaloblástica
Anaemia of chronic disease	Anemia de enfermedad crónica
Anaemia neonatal	Anemia neonatal
Anaemia vitamin B6 deficiency	Anemia por déficit de vitamina B6
Anaemia vitamin B12 deficiency	Anemia por déficit de vitamina B12
Anaesthesia	Anestesia
Anaesthetic complication neurological	Complicación neurológica de la anestesia
Anaesthetic complication cardiac	Complicación cardiaca de la anestesia
Anal cancer recurrent	Cáncer anal recurrente
Anaesthetic complication pulmonary	Complicación pulmonar de la anestesia
Anal atresia	Atresia anal
Anal cancer stage I	Cáncer anal, estadio I
Anal cancer stage 0	Cáncer anal, estadio 0
Anal cancer stage IV	Cáncer anal, estadio IV
Anal cancer stage II	Cáncer anal, estadio II
Anal cancer stage III	Cáncer anal, estadio III
Anal chlamydia infection	Infección anal por clamidia
Anal candidiasis	Candidiasis anal
Anal dilatation	Dilatación anal
Anal fissure	Fisura anal
Anal fissure excision	Extirpación de fisura anal
Anal fistula	Fístula anal
Anal fistula excision	Extirpación de fístula anal
Anal lesion excision	Extirpación de lesión anal
Anal polyp	Pólipo anal
Anal leukoplakia	Leucoplasia anal
Anal skin tag excision	Extirpación de pólipo cutáneo anal
Anal polypectomy	Polipectomía anal
Anal skin tags	Colgajo cutáneo anal
Anal spasm	Espasmo anal
Anal sphincterotomy	Esfinterotomía anal
Anal stenosis	Estenosis anal
Anal ulcer	Úlcera anal
Anaphylactic reaction	Reacción anafiláctica
Anal tinea	Tiña anal
Anaphylactoid reaction	Reacción anafilactoide
Anaphylaxis treatment	Tratamiento de la anafilaxia
Anaphylactic shock	Shock anafiláctico
Anaplastic astrocytoma	Astrocitoma anaplásico
Anaplastic large cell lymphoma T- and null-cell types	Linfoma anaplásico de células grandes de tipos T y de células nulas
Anaplastic large cell lymphoma T- and null-cell types recurrent	Linfoma anaplásico de células grandes de tipos T y de células nulas, recurrente
Anaplastic large cell lymphoma T- and null-cell types refractory	Linfoma anaplásico de células grandes de tipos T y de células nulas, refractario
Anaplastic large cell lymphoma T- and null-cell types stage I	Linfoma anaplásico de células grandes de tipos T y de células nulas, estadio I
Anaplastic large cell lymphoma T- and null-cell types stage IV	Linfoma anaplásico de células grandes de tipos T y de células nulas, estadio IV
Anaplastic large cell lymphoma T- and null-cell types stage II	Linfoma anaplásico de células grandes de tipos T y de células nulas, estadio II
Anaplastic large cell lymphoma T- and null-cell types stage III	Linfoma anaplásico de células grandes de tipos T y de células nulas, estadio III
Anastomotic ulcer haemorrhage	Hemorragia de úlcera anastomótica
Anastomotic ulcer	Úlcera anastomótica
Anastomotic ulcer perforation	Perforación de úlcera anastomótica
Anastomotic ulcer, obstructive	Úlcera anastomótica con obstrucción
Androgen replacement therapy	Tratamiento de sustitución de andrógenos
Androgen deficiency	Deficiencia de andrógenos
Androgen therapy	Tratamiento con andrógenos
Aneurysm	Aneurisma
Anencephaly	Anencefalia
Androgens increased	Andrógenos elevados
Aneurysm arteriovenous	Aneurisma arteriovenoso
Anger	Reacción de ira
Aneurysmal bone cyst	Quiste óseo aneurismático
Angina unstable	Angina inestable
Angina pectoris	Angina de pecho
Angina gangrenous	Angina gangrenosa
Angiocentric lymphoma recurrent	Linfoma angiocéntrico recurrente
Angiocentric lymphoma	Linfoma angiocéntrico
Angiocentric lymphoma stage II	Linfoma angiocéntrico, estadio II
Angiocentric lymphoma refractory	Linfoma angiocéntrico refractario
Angiocentric lymphoma stage I	Linfoma angiocéntrico, estadio I
Angiocentric lymphoma stage III	Linfoma angiocéntrico, estadio III
Angiocentric lymphoma stage IV	Linfoma angiocéntrico, estadio IV
Angioedema	Angioedema
Angiofibroma	Angiofibroma
Angiogram pulmonary	Angiografía pulmonar
Angiogram pulmonary normal	Angiografía pulmonar normal
Angiogram pulmonary abnormal	Angiografía pulmonar anormal
Angiogram retina	Angiografía de la retina
Angiogram retina normal	Angiografía normal de la retina
Angioimmunoblastic T-cell lymphoma	Linfoma angioinmunoblástico de células T
Angiogram retina abnormal	Angiografía anormal de retina
Angioimmunoblastic T-cell lymphoma recurrent	Linfoma angioinmunoblástico de células T, recurrente
Angioimmunoblastic T-cell lymphoma refractory	Linfoma angioinmunoblástico de células T, refractario
Angioimmunoblastic T-cell lymphoma stage II	Linfoma angioinmunoblástico de células T, estadio II
Angioimmunoblastic T-cell lymphoma stage III	Linfoma angioinmunoblástico de células T, estadio III
Angioimmunoblastic T-cell lymphoma stage I	Linfoma angioinmunoblástico de células T, estadio I
Angioimmunoblastic T-cell lymphoma stage IV	Linfoma angioinmunoblástico de células T, estadio IV
Angioplasty	Angioplastia
Angiosarcoma	Angiosarcoma
Angiosarcoma metastatic	Angiosarcoma metastásico
Angiosarcoma recurrent	Angiosarcoma recurrente
Angiosclerosis	Angiosclerosis
Angiotensin I abnormal	Angiotensina I anormal
Angiotensin I	Angiotensina I
Angiotensin I increased	Angiotensina I elevada
Angiotensin I normal	Angiotensina I normal
Angiotensin I decreased	Angiotensina I disminuida
Angiotensin II	Angiotensina II
Angiotensin II abnormal	Angiotensina II anormal
Angiotensin II increased	Angiotensina II elevada
Angiotensin II decreased	Angiotensina II disminuida
Angle closure glaucoma	Glaucoma de ángulo cerrado
Angiotensin II normal	Angiotensina II normal
Anicteric leptospirosis	Leptospirosis anictérica
Anhidrosis	Anhidrosis
Anhedonia	Anhedonia
Animal scratch	Arañazo de animal
Animal phobia	Fobia a los animales
Animal bite	Mordedura de animal
Anion gap	Desequilibro aniónico
Anion gap abnormal	Hiato aniónico anormal
Anion gap decreased	Hiato aniónico disminuido
Anion gap normal	Hiato aniónico normal
Aniridia	Aniridia
Anion gap increased	Hiato aniónico elevado
Anisakiasis	Anisaquiasis
Aniseikonia	Aniseiconía
Anisocytosis	Anisocitosis
Anisometropia	Anisometropía
Ankylosing spondylitis	Espondilitis anquilosante
Ankle fracture	Fractura de tobillo
Anodontia	Anodoncia
Anorectal ulcer	Úlcera anorrectal
Anorectal stenosis	Estenosis anorrectal
Anophthalmos	Anoftalmos
Anomaly of orbit, congenital	Anomalía congénita de la órbita
Anomalous atrioventricular excitation	Excitación auriculoventricular anómala
Anorectal cellulitis	Celulitis anorrectal
Anorchism	Anorquia
Anorectal disorder	Trastorno anorrectal
Anorexia and bulimia syndrome	Síndrome de anorexia y bulimia
Anorgasmia	Anorgasmia
Anosmia	Anosmia
Anorexia nervosa	Anorexia nerviosa
Anotia	Anotia
Anovulatory cycle	Ciclo anovulatorio
Anoxia	Anoxia
Anterior chamber opacity	Opacidad de la cámara anterior
Antabuse implant	Implante de antabús
Anterior chamber degeneration	Degeneración de la cámara anterior
Anterior spinal artery syndrome	Síndrome de la arteria espinal anterior
Anterograde amnesia	Amnesia anterógrada
Anthrax	Carbunco
Antiandrogen therapy	Tratamiento antiandrogénico
Anticachectic therapy	Tratamiento anticaquéctico
Anticholinergic syndrome	Síndrome anticolinérgico
Anticipatory anxiety	Ansiedad de anticipación
Antigonadotrophins present	Presencia de antigonadotropinas
Antiemetic supportive care	Tratamiento de apoyo antiemético
Antidiuretic hormone abnormality	Anormalidad de la hormona antidiurética
Antimicrobial susceptibility test intermediate	Prueba de susceptibilidad antimicrobiana intermedia
Antimicrobial susceptibility test	Prueba de susceptibilidad antimicrobiana
Antimitochondrial antibody	Anticuerpos antimitocondriales
Antimicrobial susceptibility test sensitive	Prueba de susceptibilidad antimicrobiana sensible
Antimicrobial susceptibility test resistant	Prueba de susceptibilidad antimicrobiana resistente
Antimitochondrial antibody positive	Anticuerpos antimitocondriales positivos
Antinuclear antibody	Anticuerpos antinucleares
Antimitochondrial antibody normal	Anticuerpos antimitocondriales normales
Antiphospholipid syndrome	Síndrome antifosfolípido
Antioestrogen therapy	Tratamiento antiestrogénico
Antinuclear antibody negative	Anticuerpos antinucleares negativos
Antiprogestational therapy	Tratamiento con antiprogestágenos
Antisocial behaviour	Comportamiento antisocial
Antiprolactin therapy	Tratamiento antiprolactínico
Antithrombin III deficiency	Déficit de antitrombina III
Antisocial personality disorder	Trastorno antisocial de la personalidad
Antral lavage	Lavado antral
Anxiety	Ansiedad
Anxiety disorder due to a general medical condition	Trastorno de ansiedad por una enfermedad general
Anuria	Anuria
Aortic aneurysm	Aneurisma aórtico
Aorta coarctation repair	Reparación de coartación aórtica
Anxious parent	Padre (o madre) ansioso(a)
Aortic aneurysm repair	Reparación de aneurisma aórtico
Aortic aneurysm rupture	Ruptura de aneurisma aórtico
Aortic aneurysm syphilitic	Aneurisma aórtico sifilítico
Aortic dissection	Disección aórtica
Aortic injury	Lesión traumática de la aorta
Aortic embolus	Embolia aórtica
Aortic necrosis	Necrosis aórtica
Aortic valve incompetence	Insuficiencia de la válvula aórtica
Aortic valve disease mixed	Enfermedad mixta de la válvula aórtica
Aortic thrombosis	Trombosis aórtica
Aortic stenosis	Estenosis valvular aórtica
Aortic valve stenosis	Estenosis de la válvula aórtica
Aortic valve sclerosis	Esclerosis de la válvula aórtica
Aortic valve replacement	Sustitución de la válvula aórtica
Aortic valvotomy	Valvulotomía aórtica
Aortitis syphilitic	Aortitis sifilítica
Aortitis	Aortitis
Apathy	Apatía
Apallic syndrome	Síndrome apálico
Aorto-duodenal fistula	Fístula aortoduodenal
Aphakia congenital	Afaquia congénita
Apgar score low	Apgar bajo
Apert's syndrome	Síndrome de Apert
Aphakia	Afaquia
Aphonia	Afonía
Aphonia psychogenic	Afonía psicógena
Aphasia	Afasia
Apicectomy	Apicectomía
Aplasia cutis congenita	Aplasia cutánea congénita
Aphthous stomatitis	Estomatitis aftosa
Aplasia	Aplasia
Apnoea	Apnea
Aplasia pure red cell	Aplasia eritrocitaria pura
Aplastic anaemia	Anemia aplásica
Apnoeic attack	Crisis apneica
Apolipoprotein A-I	Apolipoproteína A-I
Apocrine miliaria	Miliaria apocrina
Apolipoprotein A-I increased	Apolipoproteína A-I elevada
